ID,Name,URL Name,Address 1,Address 2,City,State,Postal Code,Country,Email Address,Phone Number,Contact Name,Description,Facebook URL,Pinterest URL,Instagram URL,Twitter URL,Yelp URL,Move In Special,Open House
433,Hazel Dell Marketplace,hazel-dell-marketplace,628 NE 81st Street , ,Vancouver ,Washington,98665,United States,solasalonsvancouver@gmail.com,(971) 231-5620,Susie Leslie,"<p>We invite you to join the Sola community and experience a level of freedom and support you won&#39;t find anyplace else. Live the life you love and finally achieve your own success. Find your place at Sola Salon Studios and start working on your own terms.&nbsp;<br />
<br />
-Hold on to every dollar you make&nbsp;<br />
-Have the ability to set your own hours&nbsp;<br />
-Be a part of a tight-knit community&nbsp;<br />
-Design your own salon space&nbsp;<br />
<br />
We are located in the Hazel Dell Marketplace at 78th Street and Hazel Dell Avenue near Safeway between ROSS and Tuesday Morning. Each Sola Salon Studio is independently owned and operated. Join the thousands of salon professionals who have escaped the conventional salon and discovered the fulfillment of owning their own salon space.&nbsp;<br />
<br />
For leasing information or to schedule a confidential tour, please call Susie @ 971-231-5620 or send an e-mail message to&nbsp;<a href=""mailto:solasalonsvancouver@gmail.com"">solasalonsvancouver@gmail.com</a>.</p>
", , , , , , , 
431,Mill Creek,mill-creek,13416 Bothell Everett Highway , , 98012-5311 ,Washington,98012,US,zac@solasalons.com,(425) 246-7252,Zac Lysen,"<p>NEW Sola Salons Studios opening Spring 2018! Mill Creek in Gateway Shopping Center. Lots of parking and easy to find. Store neighbors are: Arena Sports, Sprouts, Planet Fitness, Pet Pros, and McMenamins. Work for yourself but not by yourself. Keep 100% of your profit, have 100% control of your hours and business. Beautiful, turn-key furnished studios, individual heated and cooled, lots of windows, no drama, 24/7 access to your studio, decorate to your taste, group rates for insurance and much much more. We have a start-up bonus to get you started in your business! Are you ready to own your own business and have control of your life?</p>
", , , , , , , 
430,Cinco Ranch Near La Centerra-Veranda,cinco-ranch-la-centerra,24022 Cinco Village Center Boulevard,Suite 120 ,Katy,Texas,77494 ,US,traci@solahouston.com,(281) 795-6970,Traci Miller,"<p>Sola Salon Studios third location in Cinco Ranch! We are conveniently located near La Centerra at 24022 Cinco Village Center Blvd. Suite 120. We are located on the first floor, of&nbsp;a two story office building, underneath The Artisan Center for Plastic Surgery.&nbsp;</p>

<p>Our Veranda location is beautifully constructed with the independent beauty professional in mind. It features 28 individual salon studios, perfect for hair stylists, estheticians, eyebrow artists, barbers, nail techs and a range of other professionals in the cosmetology industry. Studio sizes range in size from single, large and double sizes. They are move-in ready and are equipped with shampoo bowls, cabinets and shelving fixtures-everything you need to open your own salon in no time!</p>

<p>We would love to help you achieve your dream of owning your very own salon! We look forward to answering any questions you may have about Sola, as well as scheduling a tour so that you can experience Sola firsthand!</p>
",http://facebook.com/SolaCincoRanch, ,http://Instagram.com/solassalonhoustonarea, , ,Pre-Lease Special first 4 weeks $44/week. Expires 2/15/18, 
429,Arlington Heights,arlington-hights,89 S Evergreen Avenue , ,Arlington Heights,Illinois,60005,US,chicagoland@solasalons.com,(773) 830-4247,Rich Sola,"<p><strong><span style=""font-size:20px;"">Coming soon to downtown Arlington Heights!&nbsp;</span></strong><br />
We are located in vibrant downtown Arlington Heights in the Arlington Town Square specialty shopping and entertainment center. &nbsp;We are just steps away from the CMX-Paragon Movie Theatre, Core Power Yoga, California Pizza Kitchen, Starbucks and many other specialty retailers. &nbsp;A multi-level parking garage is conveniently located directly underneath the main Town Square. The entrance is directly off of Evergreen Ave.<br />
Our Arlington Heights location is beautifully constructed with the independent beauty professional in mind. It features 28 individuals, luxury salon studios perfect for hair stylists, estheticians, brow and lash artists, waxers, barbers, makeup artists, and a range of other professionals in the beauty and wellness industry. Studio sizes range from standard single, large and double sizes as well as specialty spa studios. They are move-in ready and are equipped with shampoo bowls or sinks, a full suite of modern cabinets with white stone countertops, state-of-the-art lighting and shelving fixtures... everything you need to open your own boutique salon or spa! Additional amenities include well-appointed restrooms, break room and on-site laundry facilities.<br />
With many styles of modern, light-filled, fully-equipped studios, this location will fill up fast!&nbsp;<br />
Call Rich at 773.830.HAIR (4247) for more details, to schedule a confidential tour of the location, and to reserve your studio.</p>
",http://www.facebook.com/solaarlingtonheights, ,http://www.instagram.com/solachicago, , ,$400 retail product bonus + One free week of rent + Free custom painting of studio walls + One free year of insurance, 
428,Maple Crossings,maple-crossing,4110 Maple Rd. Suite 100 , ,Amherst,New York,14226 ,US,studiogrouppartners@gmail.com,(716) 508-7652,Amanda Alessandra,"<p>Sola Salon Studios is COMING SOON to Maple Rd., Amherst! This&nbsp;stand alone location in the Maple Crossings Plaza is easy to get in and out of and has ample parking. Sola is situated near the high end shopping of Niagara Falls Blvd. with easy access to Interstate 290.</p>

<p>Sola provides high-end, move-in ready studios along with the support and tools you need to launch your salon business in no time. Our individual studios are perfect for hair stylists, barbers, estheticians, makeup artists, brow and lash specialists, and massage therapists - we have a variety of studio options to fit your needs. The best part is that in your studio, you completely control the atmosphere. Customize your studio and create an intimate environment that reflects your personal style. Set your own hours with 24/7 access to your studio and enjoy the ideal work/life balance for you. Sell the retail products you love and set your own prices to maximize your income - you keep 100% of your profits from services and retail! With easy access, plenty of parking, a private break room, and several different types of studios, Sola&#39;s first location in Amherst&nbsp;will fill up fast! Call (716) 941-7034 today for more details, to schedule a confidential tour, and to find out more about our move-in specials!</p>
", , , , , ,"$100 rent for the first 8 weeks!
Free painting of your studio
Free insurance for a year", 
427,Powell,powell-oh,10516 Sawmill Rd., ,Powell,Ohio,43065,US,studiogrouppartnersoh@gmail.com,(614) 753-7000,Mike Meilleur,"<p>Sola Salon Studios is COMING SOON to Powell! Sola provides high-end, move-in ready studios along with the support and tools you need to launch your salon business in no time. Our individual studios are perfect for hair stylists, barbers, estheticians, makeup artists, brow and lash specialists, and massage therapists - we have a variety of studio options to fit your needs. The best part is that in your studio, you completely control the atmosphere. Customize your studio and create an intimate environment that reflects your personal style. Set your own hours with 24/7 access to your studio and enjoy the ideal work/life balance for you. Sell the retail products you love and set your own prices to maximize your income - you keep 100% of your profits from services and retail!&nbsp;<br />
<br />
With easy access, plenty of parking, a private break room, and several different types of studios, Sola&#39;s first location in Powell will fill up fast! Call (614) 289-1407 today for more details, to schedule a confidential tour, and to find out more about our move-in specials!</p>
", , , , , , , 
426,Brookfield,brookfield,17345 W. Capitol, ,Brookfield,Wisconsin,53005,US,milwaukeesolasalons@gmail.com,(414) 810-7652, ,"<p>COMING SOON!</p>

<p>We are conveniently located on the west end of the Calhoun and Capitol Shopping Center on the opposite end of the Pic N Save with ample parking for our professionals and clients. We have very easy access off&nbsp;of both Capitol and Calhoun streets.</p>

<p>Our location is in the process of being&nbsp;beautifully constructed with the independent beauty professional in mind. &nbsp;It will feature&nbsp;29&nbsp;individual studios, perfect for hair stylists, estheticians, make-up artists, eyelash and eyebrow artists, nail technicians, massage therapists, and a range of other professionals in the beauty&nbsp;industry. &nbsp;Studios&nbsp;range from single, large, and double sizes. &nbsp;They will be&nbsp;move-in ready and equipped with shampoo bowls, gorgeous cabinetry, and shelving fixtures- everything you need to open your salon in no time!</p>

<p>Live the life you love and finally achieve your own success. Find your place at Sola Salon Studios and start working on your terms.&nbsp;</p>

<p>-Hold on to every dollar you make&nbsp;</p>

<p>-Have the ability to set your own hours&nbsp;</p>

<p>-Be a part of a tight-knit community&nbsp;</p>

<p>-Design your own salon space&nbsp;</p>

<p>We invite you to join the Sola community and experience a level of freedom and support you won&#39;t find anyplace else.&nbsp;</p>

<p>For leasing information on studio opportunities and to set up your confidential tour please contact us&nbsp;at <a href=""tel:414.810.7652"">414.810.7652</a> or email at milwaukeesolasalons@gmail.com.</p>
",https://www.facebook.com/SolaSalonStudiosHalesCornersandBrookfield/, ,https://www.instagram.com/sola_halescorners_brookfield/, , ,Sign a lease before we open our doors to receive an additional move in bonus!, 
425,Fremont,fremont,37120 Fremont Blvd,Suite M,Fremont,California,94536 ,US,fremont@solasalons.com,(408) 982-7652,Usha Haltore,"<p>Sola is coming to Artist Walk, a mixed-use urbanistic retail and residential community in the heart of the Downtown Centerville in Fremont, California. Mirroring a &ldquo;main street&rdquo; in an urban downtown, Artist Walk includes 185 high-end apartment units with 300+ full-time residents.</p>
", , , , , , , 
424,Lake Lorraine,lake-lorraine,2571 South Westlake Drive , ,Sioux Falls,South Dakota,57106,US,steve@solasalons.com,(605) 881-5541,Steve Schoepp,"<p>Located on beautiful Lake Lorraine.</p>
", , , , , , , 
423,Clairemont,clairemont-mesa,3007 Clairemont Drive , ,San Diego,California,92117,US,austin@solasalons.com,(858) 386-3630,Austin Campbell,"<p>San Diego county&#39;s newest location will be opening in Central San Diego in February 2018, right on the border of Bay Park and Clairemont. We are located in the beautiful newly renovated Sprouts center, right by the new drive through Starbucks. With plenty of parking and less than 1 mile from the 5 freeway, this location will lease quickly. Contact Austin today to set up a confidential tour!</p>
", , , , , , , 
