Location Name,City,State,Stylists on Website,Stylists with Sola Pro Account,Stylists with SolaGenius Account
Boulder,Boulder,Colorado,42,16,3
Cherry Creek,Denver,Colorado,46,22,6
Highlands Ranch,Highlands Ranch,Colorado,27,12,3
East Wichita,Wichita,Kansas,29,5,2
Fountain Oaks,Atlanta,Georgia,30,7,2
Centennial,Centennial,Colorado,20,11,5
La Jolla,La Jolla,California,20,12,4
Aurora,Aurora,Colorado,24,5,1
Overland Park - 95th,Overland Park,Kansas,33,13,2
Carmel,Carmel,Indiana,29,9,2
Winward Parkway,Alpharetta,Georgia,25,9,3
West Wichita,Wichita,Kansas,31,9,0
Medlock Corners,Duluth,Georgia,21,4,0
Cupertino,Cupertino,California,29,1,1
NTCC,Kennesaw,Georgia,19,2,0
Littleton,Littleton,Colorado,23,13,4
Mission Valley,San Diego,California,38,12,4
Castleton,Indianapolis,Indiana,30,2,0
Pleasanton,"Pleasanton, CA ",California,23,1,1
Denver Tech Center,Greenwood Village,Colorado,26,2,1
Hull Street,Midlothian,Virginia,32,10,1
Chester,Chester,Virginia,22,11,2
Orland Park,Orland Park,Illinois,22,2,1
Roseville,Roseville,California,53,3,2
Sioux Falls - 69th/Minn.,Sioux Falls,South Dakota,36,3,5
East Cobb,Marietta,Georgia,26,6,2
LA - Sherman Oaks,Sherman Oaks,California,31,0,0
Glen Ellyn,Glen Ellyn,Illinois,19,1,0
Minneapolis - Edina,Edina,Minnesota,37,19,4
Cornelius,Cornelius,North Carolina,22,8,0
Fishers,Fishers,Indiana,33,12,1
Arvada,Arvada,Colorado,21,8,3
Dallas - Preston Forest Square,Dallas,Texas,39,8,2
Folsom,Folsom,California,26,5,0
McKinney - Craig Crossing,McKinney,Texas,19,2,0
Hunnington Place,Louisville,Kentucky,25,11,0
Enterprise-Arden,Sacramento,California,34,3,1
Plano - Midway Hills,Plano,Texas,17,2,1
Cascade East,Grand Rapids,Michigan,26,8,2
Buffalo,Las Vegas,Nevada,18,5,2
Tropicana & 215,Las Vegas,Nevada,22,0,0
Fashion Valley,San Diego,California,30,5,3
Santa Clarita,Santa Clarita,California,35,7,1
Thousand Oaks,Thousand Oaks,California,32,7,0
Encinitas,Encinitas,California,38,15,7
Deer Creek,Overland Park,Kansas,26,8,0
The District,Henderson,Nevada,75,5,1
Carrollwood,Tampa,Florida,27,4,2
Bearden,Knoxville,Tennessee,18,5,2
Arboretum,Charlotte,North Carolina,15,3,0
Cloverdale Plaza,Winston-Salem,North Carolina,25,7,2
San Francisco - Market Street,San Francisco,California,33,8,0
UNCC,Charlotte,North Carolina,22,6,1
Fort Collins- Arbor Plaza,Fort Collins,Colorado,31,14,0
Williston,Williston,Vermont,21,6,1
Downtown Bellevue - Elements Too Building,Bellevue,Washington,33,3,0
Nashville - Belle Meade,Nashville,Tennessee,29,7,1
Cascade Marketplace,Vancouver,Washington,32,16,4
Rocklin,Rocklin,California,40,6,1
El Cajon,El Cajon,California,25,14,7
Yellowstone Drive,Madison,Wisconsin,19,4,1
McFarland Road,Rockford,Illinois,23,20,7
SouthPark,Charlotte,North Carolina,28,5,0
Orchard Town Center,Westminster,Colorado,39,22,4
Centennial - Ann & 95,Las Vegas,Nevada,36,2,1
Cary,Cary,North Carolina,31,8,1
Tucson - 1st Ave,Tucson,Arizona,31,10,2
New Tampa/Wesley Chapel,New Tampa,Florida,23,9,2
Southlands,Aurora,Colorado,48,24,15
Walnut Creek,Walnut Creek,California,42,6,0
Danville,Danville,California,20,0,0
Minneapolis - Burnsville,Burnsville,Minnesota,35,23,3
Brentwood - Maryland Farms,Brentwood,Tennessee,31,13,3
North Raleigh - Creedmoor,Raleigh,North Carolina,26,8,0
South End,Charlotte,North Carolina,28,16,4
Canyon Place Sola,Beaverton,Oregon,30,16,3
Eisenhower - Alexandria,Alexandria,Virginia,29,15,4
Springhurst,Louisville,Kentucky,31,13,5
Uptown,Minneapolis,Minnesota,31,22,5
White Plains,White Plains,New York,21,8,2
Cool Springs,Brentwood,Tennessee,37,9,3
San Mateo,San Mateo,California,32,8,0
Southlake - Wyndham Plaza,Southlake,Texas,31,3,1
Summerlin,Las Vegas,Nevada,32,4,1
Short Pump,Glen Allen,Virginia,31,12,3
Midlothian Turnpike,Midlothian,Virginia,26,10,1
Tucson - Broadway / Park Place Mall,Tucson,Arizona,24,7,1
Strongsville,Strongsville,Ohio,23,5,0
The Streets at SouthGlenn,Centennial,Colorado,25,11,1
Temecula,Temecula,California,37,4,1
Costa Mesa,Costa Mesa,California,24,6,5
Longmont - Parkway Plaza,Longmont,Colorado,34,15,4
Downtown Seattle - Aspira Building,Seattle,Washington,19,3,0
Northgate - Northgate North Shopping Center,Seattle,Washington,8,3,1
Rancho Cucamonga - Terra Vista Town Center,Rancho Cucamonga,California,33,7,3
Manhattan Beach/El Segundo,El Segundo,California,30,6,1
Integrity Way,Appleton,Wisconsin,38,6,3
Lake Oswego Sola,Tualatin,Oregon,44,19,3
Capitol Mall,Sacramento,California,28,6,1
Apex,Apex,North Carolina,24,7,3
Morrisville,Morrisville,North Carolina,27,8,2
Sola Stateline,Prairie Village,Kansas,5,0,0
In Town - Seaboard,Raleigh,North Carolina,27,3,0
Highland Village,Highland Village,Texas,52,7,0
Panache Plaza,Baton Rouge,Louisiana,21,12,5
Fairlawn,Fairlawn,Ohio,26,5,0
Legacy Village,Lyndhurst,Ohio,29,6,4
Shadowlake,Papillion,Nebraska,27,6,0
Woodbury,Woodbury,Minnesota,40,11,7
Roseville,Roseville,Minnesota,32,9,4
Palm Harbor,Palm Harbor,Florida,26,13,1
Butler Crossing,Kennesaw,Georgia,20,4,1
Cinco Ranch West,Katy,Texas,24,11,3
Coral Springs,Coral Springs,Florida,27,8,2
Shoppes on Maine,Rochester,Minnesota,26,13,1
Northshore,Covington,Louisiana,34,16,9
Colleyville - Town Center Colleyville,Colleyville,Texas,32,6,0
Riverchase Village,Hoover,Alabama,33,10,2
San Jose - Willow Glen,San Jose,California,33,8,2
Hendersonville,Hendersonville,Tennessee,22,11,0
The Woodlands,Shenandoah,Texas,22,13,6
Pearl District Sola,Portland,Oregon,28,13,2
Mt. Pleasant,Mt. Pleasant,South Carolina,36,19,4
Edmond,Edmond,Oklahoma,22,14,5
Brentwood,Los Angeles,California,26,9,3
Shoney Drive,Huntsville,Alabama,18,8,3
South Tulsa,Tulsa,Oklahoma,31,7,1
La Quinta,La Quinta,California,17,3,0
Rancho Cucamonga - Victoria Promenade,Rancho Cucamonga,California,35,17,2
Village Plaza - Bobby Jones Expy.,Augusta,Georgia,15,7,2
Albuquerque - Uptown,Albuquerque,New Mexico,24,12,4
Mason,Mason,Ohio,17,2,0
Tucson - Northwest,Tucson,Arizona,25,16,3
City Plaza,Granger,Indiana,30,20,6
Hulen Fashion Center,Fort Worth ,Texas,15,6,2
Mission Viejo,Mission Viejo,California,27,6,3
Huntington Beach,Huntington Beach,California,36,10,3
James River Towne Center,Springfield,Missouri,21,4,0
Downtown Rapid City,Rapid City,South Dakota,23,7,8
Fountain Plaza, Bentonville,Arkansas,36,13,2
San Dimas - San Dimas Station NORTH Shopping Center,San Dimas,California,39,10,3
Port Jefferson,Port Jefferson Station,New York,34,16,1
Garden City,Garden City,New York,37,15,6
Huntington,Huntington Station,New York,27,13,2
Columbiana Station,Columbia,South Carolina,34,20,4
Mentor,Mentor,Ohio,19,3,0
Otay Ranch Town Center,Chula Vista,California,27,4,3
Carlsbad,Carlsbad,California,48,20,6
Paradise Valley Village,Phoenix,Arizona,34,20,11
Preston Park Village,Plano ,Texas,21,4,0
Arboretum Crossing,Austin,Texas,29,7,5
Pompano,Pompano Beach,Florida,23,9,6
Irvine,Irvine,California,36,5,2
Sola Salons of Crofton,Crofton,Maryland,20,10,4
Maple Grove,Maple Grove,Minnesota,30,13,2
San Marcos,San Marcos,California,24,7,0
Redmond - Riverpark,Redmond,Washington,8,4,0
Towne Centre,Evansville,Indiana,39,20,3
Glastonbury,Glastonbury,Connecticut,22,7,1
Corona,Corona,California,32,4,1
Sola Parker,Parker,Colorado,26,17,2
